0625761845               062576 SABLE DIALYSIS (DVA)                                 509 N SABLE BLVD                                                                                                        AURORA              CO80011                       201205044        15           3033669458  PROFIT              20200101
102668484713             BMA - STARKE                                                444 W MADISON ST                                                                                                        STARKE              FL32091                       199405234        07           9049648822  PROFIT              20200101
0125178902               DVA HEALTHCARE RENAL CARE INC                               15953 ATHENS LIMESTONE DRIVE                                                                                            ATHENS              AL35613                       198301214        08           2562334730  PROFIT              20200101
0125192658               FMC SCOTTSBORO                                              20998 JOHN T. REID HWY                                                                                                  SCOTTSBORO          AL35768                       198411054        08           2562594777  PROFIT              20200101
1426392500               DAVITA - SYCAMORE                                           2200 GATEWAY DR                                                                                                         SYCAMORE            IL60178                       199002014        10           8157580205  PROFIT              20200101
0125208624               FRESENIUS KIDNEY CARE TROY                                  606 BOTTS AVE                                                                                                           TROY                AL36081                       198411194        08           3345667266  PROFIT              20200101
01252133223              DCI DOTHAN                                                  1630 COLUMBIA HWY                                                                                                       DOTHAN              AL36303                       198503114        08           3347933519  NONPROFIT           20200101
0125228662               FMC HUNTSVILLE                                              2325 PANSY STREET                                                               SUITE C                                 HUNTSVILLE          AL35801                       198612134        08           2565361897  PROFIT              20200101
012523420476             PHENIX CITY DIALYSIS                                        4391 RIVERCHASE DRIVE                                                                                                   PHENIX CITY         AL36867                       198509234        08           3342980294  PROFIT              20200101
0125247832               FMC EAST MOBILE                                             1217 GOVERNMENT ST                                                                                                      MOBILE              AL36604                       198512014        08           2514386917  PROFIT              20200101
1526187685               FMC - GREENCASTLE                                           316 MEDIC WAY                                                                                                           GREENCASTLE         IN46135                       200802254        09           7656530000  PROFIT              20200101
012525432237             FMC WEST MOBILE                                             6601 WALL STREET                                                                SUITE A                                 MOBILE              AL36695                       198512024        08           2516332681  PROFIT              20200101
012526526057             RCG PRINCETON                                               708 COTTON AVE SW                                                                                                       BIRMINGHAM          AL35211                       198509184        08           2057853500  PROFIT              20200101
1825341387               FMC - SUBURBAN                                              3991 DUTCHMANS LANE  SUITE G-02                                                                                         LOUISVILLE          KY40207                       199608144        09           5028952217  PROFIT              20200101
012527512852             DCI ENTERPRISE                                              3861 SALEM ROAD                                                                                                         ENTERPRISE          AL36330                       198607044        08           3343478233  NONPROFIT           20200101
2025153455               DCI GREATER WATERVILLE                                      205 RIDGE RD                                                                                                            FAIRFIELD           ME04937                       201403124        01           2072389321  NONPROFIT           20200101
2225885521               FRESENIUS MEDICAL CARE DANVERS                              75 NEWBURY STREET                                                                                                       DANVERS             MA01923                       201603304        01           9787740350  PROFIT              20200101
012528525350             FMC CAHABA VALLEY                                           120 CAHABA VALLEY PARKWAY                                                       SUITE 150                               PELHAM              AL35124                       198609174        08           2059880469  PROFIT              20200101
242568125                DAVITA - UPTOWN                                             3601 LYNDALE AVENUE SOUTH                                                                                               MINNEAPOLIS         MN55409                       200706304        11           6128254583  PROFIT              20200101
312653483077             PERSHING LLC                                                422 GRAND STREET                                                                                                        JERSEY CITY         NJ07302                       201601204        03           2013326413  PROFIT              20200101
3225403645               322540 RED ROCKS HOME DIALYSIS, LLC                         1801 RED ROCKS DR                                                                                                       GALLUP              NM87301                       201109164        15           5058633472  PROFIT              20200101
012529423500             FLORENCE DIALYSIS                                           422 EAST DR. HICKS BLVD                                                                                                 FLORENCE            AL35630                       198609164        08           2567645050  PROFIT              20200101
3326949176               ROCKAWAY HD LLC                                             529 BEACH 20TH STREET                                                                                                   FAR ROCKAWAY        NY11691                       201303074        02           7183274503  PROFIT              20200101
3423097297               PRESBYTERIAN HOSPITAL                                       200 HAWTHORNE LANE                                                                                                      CHARLOTTE           NC28204                       198609053        06           7043844034  NONPROFIT           20200101
3626662103               FMC - SOLON                                                 6020 ENTERPRISE PARKWAY                                                                                                 SOLON               OH44139                       200403154        09           4402487061  PROFIT              20200101
012530893                RAI EAST 11TH ST ANNISTON                                   522 EAST 11TH STREET                                                            1ST FLOOR                               ANNISTON            AL36207                       198701074        08           2562377566  PROFIT              20200101
012531454556             FMC JACKSON (TOMBIGBEE)                                     215 WALKER SPRINGS RD                                                                                                   JACKSON             AL36545                       198701294        08           2512466667  PROFIT              20200101
012532184160             DCI EUFAULA                                                 123 A EAST BARBOUR STREET                                                                                               EUFAULA             AL36027                       198711254        08           3346877071  NONPROFIT           20200101
0125331349               WALKER COUNTY DIALYSIS                                      260 6TH AVENUE NORTHWEST                                                                                                JASPER              AL35504                       198712294        08           2053846919  PROFIT              20200101
4226535618               FRESENIUS MEDICAL CARE NORTH ANDERSON                       2021 CARDINAL CIR                                                                                                       ANDERSON            SC29621                       201508044        06           8642240024  PROFIT              20200101
4225533333               DCI GAFFNEY                                                 405 TIFFANY PARK                                                                                                        GAFFNEY             SC29341                       199409214        06           8644871727  NONPROFIT           20200101
012534410848             BESSEMER KIDNEY CENTER                                      975 9TH AVE SW                                                                  SUITE 500                               BESSEMER            AL35022                       198803224        08           2054243757  PROFIT              20200101
5025973960               NKC FIFE KIDNEY CENTER                                      700 BROADWAY                                                                                                            FIFE                WA98122                       201902224        16           2539436335  NONPROFIT           20200101
5125029537               BMA - MARTINSBURG                                           103 MARCLEY DR                                                                                                          MARTINSBURG         WV25401                       197709014        05           3042630964  PROFIT              20200101
522535470744             TOTAL RENAL CARE INC.                                       1260 SENTRY DR                                                                                                          WAUKESHA            WI53186                       200008144        11           2624465100  PROFIT              20200101
5526719602               FMC-EUCALYPTUS                                              610 N. EUCALYPTUS AVENUE                                                                                                INGLEWOOD           CA90302                       201102094        18           3106809101  PROFIT              20200101
012535536724             PCD PRATTVILLE                                              600 MCQUEEN SMITH ROAD SOUTH                                                                                            PRATTVILLE          AL36066                       199001264        08           3343581576  PROFIT              20200101
0125368170               FMC MONTCLAIR                                               7780 LUDINGTON LANE                                                                                                     BIRMINGHAM          AL35210                       199009124        08           2059571010  PROFIT              20200101
0125372629               FMC PRICHARD                                                4016 HWY 45                                                                                                             WHISTLER            AL36613                       199004234        08           2513301623  PROFIT              20200101
0125386064               RCG ANDALUSIA                                               1208 WEST BYPASS                                                                                                        ANDALUSIA           AL36420                       199106264        08           3344270147  PROFIT              20200101
012306181772             CHILDRENS HOSPITAL DIALYSIS                                 1600 7TH AVENUE SOUTH                                                                                                   BIRMINGHAM          AL35233                       198211173        08           2056389275  NONPROFIT           20200101
0125002571               FMC CAPITOL CITY                                            255 S JACKSON STREET                                                                                                    MONTGOMERY          AL36104                       197609014        08           3342631028  PROFIT              20200101
0125011811197            GADSDEN DIALYSIS                                            409 SOUTH FIRST STREET                                                                                                  GADSDEN             AL35901                       197609014        08           2565472457  PROFIT              20200101
012502247                TUSCALOOSA UNIVERSITY DIALYSIS                              220 15TH STREET                                                                                                         TUSCALOOSA          AL35401                       197710214        08           2053456004  PROFIT              20200101
0125053226               PCD MONTGOMERY                                              1001 FOREST AVENUE                                                                                                      MONTGOMERY          AL36106                       197712144        08           3342699416  PROFIT              20200101
01250633752              DOTHAN DIALYSIS                                             216 GRACELAND DR.                                                                                                       DOTHAN              AL36305                       197711284        08           3347934077  PROFIT              20200101
012507583900             FMC MOBILE                                                  2620 OLD SHELL RD                                                                                                       MOBILE              AL36607                       197901044        08           2514762762  PROFIT              20200101
012508560145             BIRMINGHAM EAST DIALYSIS                                    1105 EAST PARK DRIVE                                                                                                    BIRMINGHAM          AL35235                       197906284        08           2058336003  PROFIT              20200101
0125092275               FMC NORTH ALABAMA                                           1311 N MEMORIAL PKWY #200                                                                                               HUNTSVILLE          AL35801                       197907164        08           2565368571  PROFIT              20200101
012512488758             FMC SELMA                                                   905 MEDICAL CENTER PARKWAY                                                                                              SELMA               AL36701                       198008254        08           3348749021  PROFIT              20200101
012513572855             FMC LANGDALE                                                8 MEDICAL PARK                                                                                                          VALLEY              AL36854                       198102124        08           3347564192  PROFIT              20200101
0125151822               FMC OPELIKA                                                 2609 VILLAGE PROFESSIONAL DR                                                    STE 2                                   OPELIKA             AL36801                       198209074        08           3347495085  PROFIT              20200101
0125163781               DSI SOUTH DIALYSIS                                          3201 3RD AVE SOUTH                                                                                                      BIRMINGHAM          AL35222                       198212024        08           2055025300  PROFIT              20200101
0125408493               FMC MONROEVILLE (WHETSTONE)                                 676 S ALABAMA AVE                                                                                                       MONROEVILLE         AL36460                       199109184        08           2515753452  PROFIT              20200101
012541502470             FMC DADEVILLE                                               52 WATERWORKS RD                                                                                                        DADEVILLE           AL36853                       199203114        08           2568252740  PROFIT              20200101
0125429389               RAINBOW CITY DIALYSIS                                       2800 RAINBOW DRIVE                                                                                                      RAINBOW CITY        AL35906                       199205054        08           2564133245  PROFIT              20200101
012543718                DEMOPOLIS DIALYSIS                                          511 S CEDAR AVE                                                                                                         DEMOPOLIS           AL36732                       199205204        08           3342899700  PROFIT              20200101
0125441602               OZARK DIALYSIS                                              195 BUNTING DRIVE                                                                                                       OZARK               AL36360                       199208044        08           3347741410  PROFIT              20200101
0125455581               TUSCALOOSA DIALYSIS                                         805 OLD MILL STREET                                                                                                     TUSCALOOSA          AL35401                       199208114        08           2057526363  PROFIT              20200101
012546412064             FMC TUSKEGEE                                                802 E. MARTIN LUTHER KING HWY                                                                                           TUSKEGEE            AL36083                       199305184        08           3347279447  PROFIT              20200101
012547838                FMC EASTERN SHORE                                           124 PROFESSIONAL PARK DR                                                                                                FAIRHOPE            AL36532                       199308014        08           2519287835  PROFIT              20200101
0125488485               FAYETTE DIALYSIS                                            2450 TEMPLE AVE N                                                                                                       FAYETTE             AL35555                       199311124        08           2059328500  PROFIT              20200101
0125508065               GREENE COUNTY DIALYSIS                                      544 HIGHWAY 43                                                                                                          EUTAW               AL35462                       199406304        08           2053724000  PROFIT              20200101
0125511473               SHEFFIELD DIALYSIS                                          1120 S JACKSON HWY STE 107                                                                                              SHEFFIELD           AL35660                       199501014        08           2563818004  PROFIT              20200101
